iter	Passed	Remaining
0	23	23819
1	44	22181
2	60	20267
3	80	19972
4	99	19877
5	118	19673
6	139	19800
7	161	20011
8	180	19829
9	201	19959
10	222	19979
11	245	20246
12	263	20003
13	282	19899
14	302	19889
15	323	19869
16	342	19788
17	361	19748
18	381	19717
19	403	19750
20	422	19719
21	444	19741
22	462	19635
23	482	19632
24	502	19600
25	522	19564
26	543	19578
27	563	19568
28	583	19529
29	612	19800
30	631	19753
31	653	19766
32	675	19784
33	694	19736
34	715	19722
35	737	19739
36	759	19758
37	781	19782
38	802	19784
39	829	19912
40	852	19933
41	874	19942
42	896	19946
43	920	19991
44	940	19956
45	962	19965
46	982	19930
47	1002	19891
48	1024	19874
49	1044	19844
50	1064	19802
51	1084	19765
52	1104	19740
53	1127	19754
54	1149	19749
55	1182	19938
56	1205	19947
57	1230	19978
58	1252	19981
59	1274	19971
60	1296	19960
61	1317	19933
62	1339	19929
63	1362	19925
64	1384	19919
65	1405	19890
66	1428	19893
67	1450	19882
68	1472	19861
69	1491	19819
70	1511	19781
71	1531	19741
72	1551	19701
73	1571	19670
74	1591	19628
75	1613	19612
76	1632	19570
77	1652	19536
78	1672	19498
79	1693	19469
80	1712	19427
81	1731	19386
82	1751	19350
83	1772	19326
84	1792	19293
85	1811	19254
86	1832	19228
87	1853	19211
88	1872	19165
89	1893	19143
90	1914	19122
91	1932	19072
92	1953	19048
93	1973	19019
94	1993	18990
95	2012	18950
96	2032	18920
97	2051	18885
98	2069	18838
99	2090	18811
100	2110	18788
101	2132	18777
102	2153	18753
103	2174	18730
104	2191	18683
105	2212	18662
106	2231	18625
107	2250	18584
108	2269	18549
109	2288	18516
110	2308	18490
111	2329	18465
112	2350	18448
113	2370	18420
114	2388	18381
115	2406	18342
116	2425	18304
117	2446	18286
118	2467	18267
119	2487	18242
120	2508	18219
121	2527	18188
122	2548	18169
123	2567	18134
124	2587	18112
125	2606	18082
126	2628	18067
127	2646	18026
128	2666	18005
129	2688	17991
130	2709	17973
131	2727	17933
132	2746	17904
133	2766	17880
134	2786	17855
135	2805	17821
136	2824	17795
137	2846	17777
138	2866	17758
